Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Equivalent Elastic Strain (mm/mm)
1	-32,447	-4,8575	-0,11647	0,56338
1	-32,447	-4,8575	-0,11647	0,56338
2	-32,447	4,6245	-0,11647	0,5642
2	-32,447	4,6245	-0,11647	0,5642
3	-32,876	-3,9565	-0,11647	0,54425
3	-32,876	-3,9565	-0,11647	0,54425
4	-33,209	-3,0274	-0,11647	0,53958
4	-33,209	-3,0274	-0,11647	0,53958
5	-33,449	-2,0718	-0,11647	0,54471
5	-33,449	-2,0718	-0,11647	0,54471
6	-33,594	-1,0974	-0,11647	0,55205
6	-33,594	-1,0974	-0,11647	0,55205
7	-33,642	-0,11355	-0,11647	0,55453
7	-33,642	-0,11355	-0,11647	0,55453
8	-33,594	0,87028	-0,11647	0,55024
8	-33,594	0,87028	-0,11647	0,55024
9	-33,448	1,8446	-0,11647	0,54384
9	-33,448	1,8446	-0,11647	0,54384
10	-33,208	2,8	-0,11647	0,53948
10	-33,208	2,8	-0,11647	0,53948
11	-32,874	3,7279	-0,11647	0,54537
11	-32,874	3,7279	-0,11647	0,54537
12	-8,8047	-48,765	-0,11647	0,34032
12	-8,8047	-48,765	-0,11647	0,34032
13	-9,2887	-47,866	-0,11647	0,37575
13	-9,2887	-47,866	-0,11647	0,37575
14	-9,779	-46,956	-0,11647	0,40555
14	-9,779	-46,956	-0,11647	0,40555
15	-10,264	-46,055	-0,11647	0,43023
15	-10,264	-46,055	-0,11647	0,43023
16	-10,744	-45,164	-0,11647	0,45261
16	-10,744	-45,164	-0,11647	0,45261
17	-11,242	-44,238	-0,11647	0,47304
17	-11,242	-44,238	-0,11647	0,47304
18	-11,753	-43,29	-0,11647	0,49058
18	-11,753	-43,29	-0,11647	0,49058
19	-12,258	-42,352	-0,11647	0,50413
19	-12,258	-42,352	-0,11647	0,50413
20	-12,764	-41,411	-0,11647	0,51354
20	-12,764	-41,411	-0,11647	0,51354
21	-13,302	-40,412	-0,11647	0,5191
21	-13,302	-40,412	-0,11647	0,5191
22	-13,835	-39,422	-0,11647	0,52116
22	-13,835	-39,422	-0,11647	0,52116
23	-14,323	-38,516	-0,11647	0,52018
23	-14,323	-38,516	-0,11647	0,52018
24	-14,84	-37,557	-0,11647	0,51662
24	-14,84	-37,557	-0,11647	0,51662
25	-15,393	-36,529	-0,11647	0,51102
25	-15,393	-36,529	-0,11647	0,51102
26	-15,915	-35,559	-0,11647	0,50415
26	-15,915	-35,559	-0,11647	0,50415
27	-16,414	-34,634	-0,11647	0,49621
27	-16,414	-34,634	-0,11647	0,49621
28	-16,961	-33,617	-0,11647	0,48709
28	-16,961	-33,617	-0,11647	0,48709
29	-17,519	-32,581	-0,11647	0,47758
29	-17,519	-32,581	-0,11647	0,47758
30	-18,028	-31,637	-0,11647	0,46825
30	-18,028	-31,637	-0,11647	0,46825
31	-18,549	-30,668	-0,11647	0,45888
31	-18,549	-30,668	-0,11647	0,45888
32	-19,089	-29,666	-0,11647	0,44971
32	-19,089	-29,666	-0,11647	0,44971
33	-19,61	-28,698	-0,11647	0,44118
33	-19,61	-28,698	-0,11647	0,44118
34	-20,123	-27,746	-0,11647	0,43334
34	-20,123	-27,746	-0,11647	0,43334
35	-20,644	-26,778	-0,11647	0,42632
35	-20,644	-26,778	-0,11647	0,42632
36	-21,15	-25,838	-0,11647	0,42034
36	-21,15	-25,838	-0,11647	0,42034
37	-21,655	-24,9	-0,11647	0,41533
37	-21,655	-24,9	-0,11647	0,41533
38	-22,179	-23,927	-0,11647	0,41151
38	-22,179	-23,927	-0,11647	0,41151
39	-22,681	-22,994	-0,11647	0,40915
39	-22,681	-22,994	-0,11647	0,40915
40	-23,161	-22,102	-0,11647	0,4081
40	-23,161	-22,102	-0,11647	0,4081
41	-23,667	-21,164	-0,11647	0,40844
41	-23,667	-21,164	-0,11647	0,40844
42	-24,184	-20,203	-0,11647	0,41053
42	-24,184	-20,203	-0,11647	0,41053
43	-24,676	-19,289	-0,11647	0,4143
43	-24,676	-19,289	-0,11647	0,4143
44	-25,163	-18,385	-0,11647	0,41973
44	-25,163	-18,385	-0,11647	0,41973
45	-25,665	-17,452	-0,11647	0,42708
45	-25,665	-17,452	-0,11647	0,42708
46	-26,165	-16,524	-0,11647	0,43645
46	-26,165	-16,524	-0,11647	0,43645
47	-26,649	-15,626	-0,11647	0,44765
47	-26,649	-15,626	-0,11647	0,44765
48	-27,14	-14,714	-0,11647	0,46082
48	-27,14	-14,714	-0,11647	0,46082
49	-27,627	-13,809	-0,11647	0,47602
49	-27,627	-13,809	-0,11647	0,47602
50	-28,111	-12,911	-0,11647	0,49295
50	-28,111	-12,911	-0,11647	0,49295
51	-28,592	-12,018	-0,11647	0,51136
51	-28,592	-12,018	-0,11647	0,51136
52	-29,08	-11,111	-0,11647	0,53068
52	-29,08	-11,111	-0,11647	0,53068
53	-29,56	-10,218	-0,11647	0,54987
53	-29,56	-10,218	-0,11647	0,54987
54	-30,039	-9,3296	-0,11647	0,56758
54	-30,039	-9,3296	-0,11647	0,56758
55	-30,521	-8,435	-0,11647	0,58221
55	-30,521	-8,435	-0,11647	0,58221
56	-31,006	-7,5335	-0,11647	0,59183
56	-31,006	-7,5335	-0,11647	0,59183
57	-31,486	-6,6426	-0,11647	0,59417
57	-31,486	-6,6426	-0,11647	0,59417
58	-31,964	-5,7539	-0,11647	0,58486
58	-31,964	-5,7539	-0,11647	0,58486
59	8,8047	-48,765	-0,11647	0,33963
59	8,8047	-48,765	-0,11647	0,33963
60	8,2767	-49,636	-0,11647	0,30851
60	8,2767	-49,636	-0,11647	0,30851
61	7,6553	-50,458	-0,11647	0,28874
61	7,6553	-50,458	-0,11647	0,28874
62	6,9548	-51,209	-0,11647	0,27536
62	6,9548	-51,209	-0,11647	0,27536
63	6,182	-51,884	-0,11647	0,26364
63	6,182	-51,884	-0,11647	0,26364
64	5,3401	-52,479	-0,11647	0,25224
64	5,3401	-52,479	-0,11647	0,25224
65	4,4522	-52,978	-0,11647	0,2421
65	4,4522	-52,978	-0,11647	0,2421
66	3,5152	-53,386	-0,11647	0,23467
66	3,5152	-53,386	-0,11647	0,23467
67	2,5302	-53,698	-0,11647	0,22912
67	2,5302	-53,698	-0,11647	0,22912
68	1,5229	-53,907	-0,11647	0,22542
68	1,5229	-53,907	-0,11647	0,22542
69	0,50526	-54,011	-0,11647	0,22351
69	0,50526	-54,011	-0,11647	0,22351
70	-0,51473	-54,011	-0,11647	0,22419
70	-0,51473	-54,011	-0,11647	0,22419
71	-1,5323	-53,906	-0,11647	0,22686
71	-1,5323	-53,906	-0,11647	0,22686
72	-2,5395	-53,696	-0,11647	0,2308
72	-2,5395	-53,696	-0,11647	0,2308
73	-3,5241	-53,382	-0,11647	0,23635
73	-3,5241	-53,382	-0,11647	0,23635
74	-4,4605	-52,974	-0,11647	0,24348
74	-4,4605	-52,974	-0,11647	0,24348
75	-5,348	-52,474	-0,11647	0,25208
75	-5,348	-52,474	-0,11647	0,25208
76	-6,1895	-51,878	-0,11647	0,26231
76	-6,1895	-51,878	-0,11647	0,26231
77	-6,9615	-51,203	-0,11647	0,27366
77	-6,9615	-51,203	-0,11647	0,27366
78	-7,6614	-50,451	-0,11647	0,28772
78	-7,6614	-50,451	-0,11647	0,28772
79	-8,282	-49,628	-0,11647	0,30887
79	-8,282	-49,628	-0,11647	0,30887
80	32,452	-4,848	-0,11647	0,56382
80	32,452	-4,848	-0,11647	0,56382
81	31,969	-5,7459	-0,11647	0,58435
81	31,969	-5,7459	-0,11647	0,58435
82	31,49	-6,6349	-0,11647	0,59344
82	31,49	-6,6349	-0,11647	0,59344
83	31,01	-7,5259	-0,11647	0,59107
83	31,01	-7,5259	-0,11647	0,59107
84	30,525	-8,4276	-0,11647	0,58148
84	30,525	-8,4276	-0,11647	0,58148
85	30,043	-9,3225	-0,11647	0,56692
85	30,043	-9,3225	-0,11647	0,56692
86	29,564	-10,211	-0,11647	0,54934
86	29,564	-10,211	-0,11647	0,54934
87	29,083	-11,104	-0,11647	0,53021
87	29,083	-11,104	-0,11647	0,53021
88	28,595	-12,011	-0,11647	0,51092
88	28,595	-12,011	-0,11647	0,51092
89	28,114	-12,904	-0,11647	0,49254
89	28,114	-12,904	-0,11647	0,49254
90	27,631	-13,802	-0,11647	0,47565
90	27,631	-13,802	-0,11647	0,47565
91	27,143	-14,708	-0,11647	0,46047
91	27,143	-14,708	-0,11647	0,46047
92	26,652	-15,62	-0,11647	0,44728
92	26,652	-15,62	-0,11647	0,44728
93	26,168	-16,518	-0,11647	0,43609
93	26,168	-16,518	-0,11647	0,43609
94	25,668	-17,447	-0,11647	0,42668
94	25,668	-17,447	-0,11647	0,42668
95	25,166	-18,38	-0,11647	0,41937
95	25,166	-18,38	-0,11647	0,41937
96	24,679	-19,284	-0,11647	0,414
96	24,679	-19,284	-0,11647	0,414
97	24,187	-20,198	-0,11647	0,41023
97	24,187	-20,198	-0,11647	0,41023
98	23,669	-21,159	-0,11647	0,40816
98	23,669	-21,159	-0,11647	0,40816
99	23,164	-22,098	-0,11647	0,40784
99	23,164	-22,098	-0,11647	0,40784
100	22,684	-22,99	-0,11647	0,40892
100	22,684	-22,99	-0,11647	0,40892
101	22,182	-23,922	-0,11647	0,41128
101	22,182	-23,922	-0,11647	0,41128
102	21,658	-24,895	-0,11647	0,41511
102	21,658	-24,895	-0,11647	0,41511
103	21,152	-25,833	-0,11647	0,42015
103	21,152	-25,833	-0,11647	0,42015
104	20,646	-26,774	-0,11647	0,42617
104	20,646	-26,774	-0,11647	0,42617
105	20,124	-27,743	-0,11647	0,43321
105	20,124	-27,743	-0,11647	0,43321
106	19,612	-28,695	-0,11647	0,44106
106	19,612	-28,695	-0,11647	0,44106
107	19,09	-29,663	-0,11647	0,44961
107	19,09	-29,663	-0,11647	0,44961
108	18,551	-30,665	-0,11647	0,45881
108	18,551	-30,665	-0,11647	0,45881
109	18,029	-31,635	-0,11647	0,46819
109	18,029	-31,635	-0,11647	0,46819
110	17,52	-32,579	-0,11647	0,47756
110	17,52	-32,579	-0,11647	0,47756
111	16,963	-33,614	-0,11647	0,48707
111	16,963	-33,614	-0,11647	0,48707
112	16,415	-34,631	-0,11647	0,49619
112	16,415	-34,631	-0,11647	0,49619
113	15,917	-35,557	-0,11647	0,50416
113	15,917	-35,557	-0,11647	0,50416
114	15,395	-36,526	-0,11647	0,51106
114	15,395	-36,526	-0,11647	0,51106
115	14,841	-37,554	-0,11647	0,51666
115	14,841	-37,554	-0,11647	0,51666
116	14,325	-38,513	-0,11647	0,52025
116	14,325	-38,513	-0,11647	0,52025
117	13,837	-39,419	-0,11647	0,52128
117	13,837	-39,419	-0,11647	0,52128
118	13,304	-40,409	-0,11647	0,51926
118	13,304	-40,409	-0,11647	0,51926
119	12,766	-41,408	-0,11647	0,51378
119	12,766	-41,408	-0,11647	0,51378
120	12,259	-42,35	-0,11647	0,50452
120	12,259	-42,35	-0,11647	0,50452
121	11,753	-43,29	-0,11647	0,49121
121	11,753	-43,29	-0,11647	0,49121
122	11,242	-44,238	-0,11647	0,47401
122	11,242	-44,238	-0,11647	0,47401
123	10,743	-45,164	-0,11647	0,45389
123	10,743	-45,164	-0,11647	0,45389
124	10,263	-46,056	-0,11647	0,4316
124	10,263	-46,056	-0,11647	0,4316
125	9,7785	-46,956	-0,11647	0,40652
125	9,7785	-46,956	-0,11647	0,40652
126	9,2882	-47,867	-0,11647	0,37572
126	9,2882	-47,867	-0,11647	0,37572
127	32,452	4,615	-0,11647	0,56299
127	32,452	4,615	-0,11647	0,56299
128	32,88	3,7166	-0,11647	0,54428
128	32,88	3,7166	-0,11647	0,54428
129	33,212	2,7905	-0,11647	0,53789
129	33,212	2,7905	-0,11647	0,53789
130	33,452	1,8368	-0,11647	0,5411
130	33,452	1,8368	-0,11647	0,5411
131	33,597	0,86442	-0,11647	0,54816
131	33,597	0,86442	-0,11647	0,54816
132	33,645	-0,11749	-0,11647	0,55229
132	33,645	-0,11749	-0,11647	0,55229
133	33,597	-1,0994	-0,11647	0,55148
133	33,597	-1,0994	-0,11647	0,55148
134	33,452	-2,0718	-0,11647	0,54748
134	33,452	-2,0718	-0,11647	0,54748
135	33,212	-3,0254	-0,11647	0,54288
135	33,212	-3,0254	-0,11647	0,54288
136	32,878	-3,9525	-0,11647	0,54635
136	32,878	-3,9525	-0,11647	0,54635
137	8,6198	48,875	-0,11647	0,45114
137	8,6198	48,875	-0,11647	0,45114
138	9,0945	47,994	-0,11647	0,51109
138	9,0945	47,994	-0,11647	0,51109
139	9,5791	47,094	-0,11647	0,56036
139	9,5791	47,094	-0,11647	0,56036
140	10,061	46,199	-0,11647	0,59569
140	10,061	46,199	-0,11647	0,59569
141	10,535	45,319	-0,11647	0,61816
141	10,535	45,319	-0,11647	0,61816
142	11,017	44,423	-0,11647	0,63077
142	11,017	44,423	-0,11647	0,63077
143	11,52	43,489	-0,11647	0,63634
143	11,52	43,489	-0,11647	0,63634
144	12,032	42,539	-0,11647	0,63602
144	12,032	42,539	-0,11647	0,63602
145	12,538	41,599	-0,11647	0,63108
145	12,538	41,599	-0,11647	0,63108
146	13,057	40,636	-0,11647	0,62257
146	13,057	40,636	-0,11647	0,62257
147	13,585	39,655	-0,11647	0,61165
147	13,585	39,655	-0,11647	0,61165
148	14,081	38,732	-0,11647	0,59947
148	14,081	38,732	-0,11647	0,59947
149	14,575	37,815	-0,11647	0,58621
149	14,575	37,815	-0,11647	0,58621
150	15,108	36,827	-0,11647	0,57182
150	15,108	36,827	-0,11647	0,57182
151	15,634	35,849	-0,11647	0,55736
151	15,634	35,849	-0,11647	0,55736
152	16,116	34,954	-0,11647	0,54333
152	16,116	34,954	-0,11647	0,54333
153	16,627	34,004	-0,11647	0,52899
153	16,627	34,004	-0,11647	0,52899
154	17,175	32,987	-0,11647	0,51449
154	17,175	32,987	-0,11647	0,51449
155	17,692	32,026	-0,11647	0,50089
155	17,692	32,026	-0,11647	0,50089
156	18,184	31,113	-0,11647	0,48806
156	18,184	31,113	-0,11647	0,48806
157	18,715	30,127	-0,11647	0,47544
157	18,715	30,127	-0,11647	0,47544
158	19,255	29,125	-0,11647	0,46365
158	19,255	29,125	-0,11647	0,46365
159	19,755	28,195	-0,11647	0,4531
159	19,755	28,195	-0,11647	0,4531
160	20,265	27,249	-0,11647	0,4435
160	20,265	27,249	-0,11647	0,4435
161	20,784	26,285	-0,11647	0,43494
161	20,784	26,285	-0,11647	0,43494
162	21,291	25,343	-0,11647	0,42772
162	21,291	25,343	-0,11647	0,42772
163	21,793	24,41	-0,11647	0,42174
163	21,793	24,41	-0,11647	0,42174
164	22,305	23,46	-0,11647	0,41716
164	22,305	23,46	-0,11647	0,41716
165	22,794	22,551	-0,11647	0,41414
165	22,794	22,551	-0,11647	0,41414
166	23,28	21,65	-0,11647	0,41251
166	23,28	21,65	-0,11647	0,41251
167	23,788	20,706	-0,11647	0,41246
167	23,788	20,706	-0,11647	0,41246
168	24,292	19,769	-0,11647	0,41423
168	24,292	19,769	-0,11647	0,41423
169	24,768	18,885	-0,11647	0,41767
169	24,768	18,885	-0,11647	0,41767
170	25,253	17,986	-0,11647	0,42279
170	25,253	17,986	-0,11647	0,42279
171	25,752	17,059	-0,11647	0,42995
171	25,752	17,059	-0,11647	0,42995
172	26,243	16,147	-0,11647	0,43914
172	26,243	16,147	-0,11647	0,43914
173	26,718	15,265	-0,11647	0,45009
173	26,718	15,265	-0,11647	0,45009
174	27,204	14,362	-0,11647	0,46307
174	27,204	14,362	-0,11647	0,46307
175	27,688	13,462	-0,11647	0,47813
175	27,688	13,462	-0,11647	0,47813
176	28,168	12,571	-0,11647	0,49492
176	28,168	12,571	-0,11647	0,49492
177	28,644	11,688	-0,11647	0,51313
177	28,644	11,688	-0,11647	0,51313
178	29,125	10,795	-0,11647	0,53226
178	29,125	10,795	-0,11647	0,53226
179	29,598	9,9156	-0,11647	0,55124
179	29,598	9,9156	-0,11647	0,55124
180	30,071	9,0372	-0,11647	0,56868
180	30,071	9,0372	-0,11647	0,56868
181	30,548	8,1521	-0,11647	0,58298
181	30,548	8,1521	-0,11647	0,58298
182	31,027	7,2626	-0,11647	0,5922
182	31,027	7,2626	-0,11647	0,5922
183	31,5	6,3836	-0,11647	0,59554
183	31,5	6,3836	-0,11647	0,59554
184	31,973	5,5052	-0,11647	0,58503
184	31,973	5,5052	-0,11647	0,58503
185	-8,6198	48,875	-0,11647	0,44815
185	-8,6198	48,875	-0,11647	0,44815
186	-8,1027	49,728	-0,11647	0,39297
186	-8,1027	49,728	-0,11647	0,39297
187	-7,4933	50,534	-0,11647	0,35716
187	-7,4933	50,534	-0,11647	0,35716
188	-6,8097	51,268	-0,11647	0,33997
188	-6,8097	51,268	-0,11647	0,33997
189	-6,0522	51,929	-0,11647	0,33799
189	-6,0522	51,929	-0,11647	0,33799
190	-5,2298	52,51	-0,11647	0,34895
190	-5,2298	52,51	-0,11647	0,34895
191	-4,3605	52,999	-0,11647	0,36918
191	-4,3605	52,999	-0,11647	0,36918
192	-3,4426	53,399	-0,11647	0,39428
192	-3,4426	53,399	-0,11647	0,39428
193	-2,4779	53,705	-0,11647	0,41999
193	-2,4779	53,705	-0,11647	0,41999
194	-1,4916	53,91	-0,11647	0,44011
194	-1,4916	53,91	-0,11647	0,44011
195	-0,49505	54,011	-0,11647	0,45194
195	-0,49505	54,011	-0,11647	0,45194
196	0,50372	54,011	-0,11647	0,45276
196	0,50372	54,011	-0,11647	0,45276
197	1,5002	53,908	-0,11647	0,44265
197	1,5002	53,908	-0,11647	0,44265
198	2,4864	53,703	-0,11647	0,42272
198	2,4864	53,703	-0,11647	0,42272
199	3,4509	53,396	-0,11647	0,39542
199	3,4509	53,396	-0,11647	0,39542
200	4,3683	52,995	-0,11647	0,36889
200	4,3683	52,995	-0,11647	0,36889
201	5,2372	52,505	-0,11647	0,34884
201	5,2372	52,505	-0,11647	0,34884
202	6,0591	51,924	-0,11647	0,3393
202	6,0591	51,924	-0,11647	0,3393
203	6,8159	51,261	-0,11647	0,34282
203	6,8159	51,261	-0,11647	0,34282
204	7,499	50,527	-0,11647	0,36082
204	7,499	50,527	-0,11647	0,36082
205	8,1076	49,721	-0,11647	0,39622
205	8,1076	49,721	-0,11647	0,39622
206	-31,969	5,5123	-0,11647	0,58467
206	-31,969	5,5123	-0,11647	0,58467
207	-31,496	6,3906	-0,11647	0,59462
207	-31,496	6,3906	-0,11647	0,59462
208	-31,023	7,2695	-0,11647	0,59185
208	-31,023	7,2695	-0,11647	0,59185
209	-30,544	8,1588	-0,11647	0,58239
209	-30,544	8,1588	-0,11647	0,58239
210	-30,068	9,0438	-0,11647	0,56822
210	-30,068	9,0438	-0,11647	0,56822
211	-29,595	9,922	-0,11647	0,55114
211	-29,595	9,922	-0,11647	0,55114
212	-29,121	10,801	-0,11647	0,53246
212	-29,121	10,801	-0,11647	0,53246
213	-28,641	11,694	-0,11647	0,51346
213	-28,641	11,694	-0,11647	0,51346
214	-28,165	12,577	-0,11647	0,4953
214	-28,165	12,577	-0,11647	0,4953
215	-27,685	13,468	-0,11647	0,47851
215	-27,685	13,468	-0,11647	0,47851
216	-27,201	14,367	-0,11647	0,46341
216	-27,201	14,367	-0,11647	0,46341
217	-26,715	15,27	-0,11647	0,45038
217	-26,715	15,27	-0,11647	0,45038
218	-26,24	16,152	-0,11647	0,43939
218	-26,24	16,152	-0,11647	0,43939
219	-25,749	17,064	-0,11647	0,43018
219	-25,749	17,064	-0,11647	0,43018
220	-25,25	17,991	-0,11647	0,42299
220	-25,25	17,991	-0,11647	0,42299
221	-24,766	18,89	-0,11647	0,41788
221	-24,766	18,89	-0,11647	0,41788
222	-24,29	19,774	-0,11647	0,41444
222	-24,29	19,774	-0,11647	0,41444
223	-23,785	20,711	-0,11647	0,41267
223	-23,785	20,711	-0,11647	0,41267
224	-23,277	21,654	-0,11647	0,41271
224	-23,277	21,654	-0,11647	0,41271
225	-22,792	22,555	-0,11647	0,41432
225	-22,792	22,555	-0,11647	0,41432
226	-22,303	23,464	-0,11647	0,41731
226	-22,303	23,464	-0,11647	0,41731
227	-21,791	24,414	-0,11647	0,42187
227	-21,791	24,414	-0,11647	0,42187
228	-21,289	25,346	-0,11647	0,42785
228	-21,289	25,346	-0,11647	0,42785
229	-20,783	26,287	-0,11647	0,43509
229	-20,783	26,287	-0,11647	0,43509
230	-20,264	27,251	-0,11647	0,44363
230	-20,264	27,251	-0,11647	0,44363
231	-19,754	28,198	-0,11647	0,45322
231	-19,754	28,198	-0,11647	0,45322
232	-19,253	29,127	-0,11647	0,46376
232	-19,253	29,127	-0,11647	0,46376
233	-18,714	30,129	-0,11647	0,47556
233	-18,714	30,129	-0,11647	0,47556
234	-18,183	31,115	-0,11647	0,48819
234	-18,183	31,115	-0,11647	0,48819
235	-17,691	32,028	-0,11647	0,50102
235	-17,691	32,028	-0,11647	0,50102
236	-17,174	32,988	-0,11647	0,51461
236	-17,174	32,988	-0,11647	0,51461
237	-16,626	34,006	-0,11647	0,52911
237	-16,626	34,006	-0,11647	0,52911
238	-16,115	34,956	-0,11647	0,54345
238	-16,115	34,956	-0,11647	0,54345
239	-15,633	35,851	-0,11647	0,55746
239	-15,633	35,851	-0,11647	0,55746
240	-15,106	36,829	-0,11647	0,57189
240	-15,106	36,829	-0,11647	0,57189
241	-14,574	37,817	-0,11647	0,58625
241	-14,574	37,817	-0,11647	0,58625
242	-14,081	38,733	-0,11647	0,59948
242	-14,081	38,733	-0,11647	0,59948
243	-13,585	39,654	-0,11647	0,61162
243	-13,585	39,654	-0,11647	0,61162
244	-13,057	40,635	-0,11647	0,62256
244	-13,057	40,635	-0,11647	0,62256
245	-12,538	41,598	-0,11647	0,63115
245	-12,538	41,598	-0,11647	0,63115
246	-12,032	42,538	-0,11647	0,63618
246	-12,032	42,538	-0,11647	0,63618
247	-11,521	43,487	-0,11647	0,63651
247	-11,521	43,487	-0,11647	0,63651
248	-11,018	44,422	-0,11647	0,63072
248	-11,018	44,422	-0,11647	0,63072
249	-10,535	45,318	-0,11647	0,6173
249	-10,535	45,318	-0,11647	0,6173
250	-10,062	46,197	-0,11647	0,59437
250	-10,062	46,197	-0,11647	0,59437
251	-9,5801	47,092	-0,11647	0,55939
251	-9,5801	47,092	-0,11647	0,55939
252	-9,0956	47,992	-0,11647	0,50944
252	-9,0956	47,992	-0,11647	0,50944
253	-21,	-0,11647	-0,11647	1,0019
253	-21,	-0,11647	-0,11647	1,0019
254	-21,125	-1,1099	-0,11647	0,97396
254	-21,125	-1,1099	-0,11647	0,97396
255	-21,495	-2,0431	-0,11647	0,91288
255	-21,495	-2,0431	-0,11647	0,91288
256	-22,093	-2,8636	-0,11647	0,89703
256	-22,093	-2,8636	-0,11647	0,89703
257	-22,875	-3,5051	-0,11647	0,88484
257	-22,875	-3,5051	-0,11647	0,88484
258	-23,783	-3,9268	-0,11647	0,9031
258	-23,783	-3,9268	-0,11647	0,9031
259	-24,767	-4,1097	-0,11647	0,92777
259	-24,767	-4,1097	-0,11647	0,92777
260	-25,767	-4,0423	-0,11647	0,90809
260	-25,767	-4,0423	-0,11647	0,90809
261	-26,718	-3,7288	-0,11647	0,94595
261	-26,718	-3,7288	-0,11647	0,94595
262	-27,565	-3,1859	-0,11647	0,91842
262	-27,565	-3,1859	-0,11647	0,91842
263	-28,254	-2,4427	-0,11647	0,84528
263	-28,254	-2,4427	-0,11647	0,84528
264	-28,73	-1,5611	-0,11647	0,71303
264	-28,73	-1,5611	-0,11647	0,71303
265	-28,972	-0,58928	-0,11647	0,59109
265	-28,972	-0,58928	-0,11647	0,59109
266	-28,965	0,4123	-0,11647	0,59091
266	-28,965	0,4123	-0,11647	0,59091
267	-28,709	1,3806	-0,11647	0,68618
267	-28,709	1,3806	-0,11647	0,68618
268	-28,221	2,2557	-0,11647	0,84758
268	-28,221	2,2557	-0,11647	0,84758
269	-27,52	2,9896	-0,11647	0,91232
269	-27,52	2,9896	-0,11647	0,91232
270	-26,661	3,5225	-0,11647	0,89886
270	-26,661	3,5225	-0,11647	0,89886
271	-25,705	3,8209	-0,11647	0,94129
271	-25,705	3,8209	-0,11647	0,94129
272	-24,705	3,8726	-0,11647	0,93579
272	-24,705	3,8726	-0,11647	0,93579
273	-23,723	3,6744	-0,11647	0,90404
273	-23,723	3,6744	-0,11647	0,90404
274	-22,819	3,2367	-0,11647	0,88583
274	-22,819	3,2367	-0,11647	0,88583
275	-22,046	2,5804	-0,11647	0,90079
275	-22,046	2,5804	-0,11647	0,90079
276	-21,463	1,752	-0,11647	0,91624
276	-21,463	1,752	-0,11647	0,91624
277	-21,11	0,81358	-0,11647	0,97825
277	-21,11	0,81358	-0,11647	0,97825
278	29,	-0,11647	-0,11647	0,5274
278	29,	-0,11647	-0,11647	0,5274
279	28,875	-1,1101	-0,11647	0,65103
279	28,875	-1,1101	-0,11647	0,65103
280	28,506	-2,0413	-0,11647	0,73331
280	28,506	-2,0413	-0,11647	0,73331
281	27,914	-2,8565	-0,11647	0,86263
281	27,914	-2,8565	-0,11647	0,86263
282	27,133	-3,5005	-0,11647	0,90676
282	27,133	-3,5005	-0,11647	0,90676
283	26,225	-3,9241	-0,11647	0,89877
283	26,225	-3,9241	-0,11647	0,89877
284	25,241	-4,1092	-0,11647	0,9351
284	25,241	-4,1092	-0,11647	0,9351
285	24,242	-4,0439	-0,11647	0,91969
285	24,242	-4,0439	-0,11647	0,91969
286	23,29	-3,7325	-0,11647	0,8925
286	23,29	-3,7325	-0,11647	0,8925
287	22,443	-3,1921	-0,11647	0,88695
287	22,443	-3,1921	-0,11647	0,88695
288	21,75	-2,4485	-0,11647	0,89047
288	21,75	-2,4485	-0,11647	0,89047
289	21,27	-1,5605	-0,11647	0,9499
289	21,27	-1,5605	-0,11647	0,9499
290	21,028	-0,58889	-0,11647	0,9969
290	21,028	-0,58889	-0,11647	0,9969
291	21,035	0,41238	-0,11647	0,99656
291	21,035	0,41238	-0,11647	0,99656
292	21,291	1,3805	-0,11647	0,94776
292	21,291	1,3805	-0,11647	0,94776
293	21,783	2,261	-0,11647	0,88874
293	21,783	2,261	-0,11647	0,88874
294	22,485	2,9943	-0,11647	0,88589
294	22,485	2,9943	-0,11647	0,88589
295	23,344	3,5246	-0,11647	0,89186
295	23,344	3,5246	-0,11647	0,89186
296	24,3	3,8218	-0,11647	0,9182
296	24,3	3,8218	-0,11647	0,9182
297	25,3	3,8722	-0,11647	0,93339
297	25,3	3,8722	-0,11647	0,93339
298	26,281	3,6727	-0,11647	0,89957
298	26,281	3,6727	-0,11647	0,89957
299	27,186	3,2333	-0,11647	0,92385
299	27,186	3,2333	-0,11647	0,92385
300	27,96	2,5744	-0,11647	0,87836
300	27,96	2,5744	-0,11647	0,87836
301	28,538	1,7506	-0,11647	0,78052
301	28,538	1,7506	-0,11647	0,78052
302	28,89	0,81345	-0,11647	0,67606
302	28,89	0,81345	-0,11647	0,67606
303	4,	-45,116	-0,11647	0,84985
303	4,	-45,116	-0,11647	0,84985
304	3,8745	-46,11	-0,11647	0,7559
304	3,8745	-46,11	-0,11647	0,7559
305	3,5061	-47,042	-0,11647	0,6222
305	3,5061	-47,042	-0,11647	0,6222
306	2,9139	-47,857	-0,11647	0,54793
306	2,9139	-47,857	-0,11647	0,54793
307	2,1413	-48,495	-0,11647	0,28459
307	2,1413	-48,495	-0,11647	0,28459
308	1,2325	-48,922	-0,11647	0,12957
308	1,2325	-48,922	-0,11647	0,12957
309	0,23821	-49,109	-0,11647	9,3854e-002
309	0,23821	-49,109	-0,11647	9,3854e-002
310	-0,7739	-49,041	-0,11647	0,1553
310	-0,7739	-49,041	-0,11647	0,1553
311	-1,7302	-48,723	-0,11647	0,25516
